LINE_NUMBER,FROM,TO,FROM_STREET_NAME,TO_STREET_NAME
704,201802,201902,"Trakt Lubelski,","Trawiasta,"
704,201902,202002,"Trawiasta,","Kajki,"
704,202002,202102,"Kajki,","Wierzchowskiego,"
704,202102,202202,"Wierzchowskiego,","Kolonia Helenów,"
704,202202,202302,"Kolonia Helenów,","Bronisława Czecha-Las,"
704,202302,229102,"Bronisława Czecha-Las,","Wawerska,"
704,229102,229202,"Wawerska,","Objazdowa,"
704,229202,229302,"Objazdowa,","1.Praskiego Pułku,"
704,229302,229402,"1.Praskiego Pułku,","Fabryczna,"
704,229402,229502,"Fabryczna,","Nizinna,"
704,229502,229656,"Nizinna,","szosa lubelska,"
704,229656,229652,"szosa lubelska,","szosa lubelska,"
704,229652,230002,"szosa lubelska,","Hotelowa,                       SL 02  NŻ  |23|29|               ====== S T R E F A   2 =======                                                       |  |  |               Trakt Brzeski,                  r"
704,230002,230202,"Hotelowa,                       SL 02  NŻ  |23|29|               ====== S T R E F A   2 =======                                                       |  |  |               Trakt Brzeski,                  r","Rataja,                         SL 02      |25|31|                                               r"
704,230202,230402,"Rataja,                         SL 02      |25|31|                                               r","Gwarna,                         SL 02  NŻ  |26|32|                                               r"
704,230402,230502,"Gwarna,                         SL 02  NŻ  |26|32|                                               r","Ogrodnicza,                     SL 02  NŻ  |27|33|"
704,230502,230702,"Ogrodnicza,                     SL 02  NŻ  |27|33|","Podgórna,                       KN 02  NŻ  |28|34|                                               r"
704,230702,230802,"Podgórna,                       KN 02  NŻ  |28|34|                                               r","Terespolska,                    KN 02  NŻ  |30|36|                                               r"
704,230802,230902,"Terespolska,                    KN 02  NŻ  |30|36|                                               r","Konik Nowy,                     KN 02  NŻ  |31|37|                                               r"
704,230902,230302,"Konik Nowy,                     KN 02  NŻ  |31|37|                                               r","Hipolitowska,                   KN 02  NŻ  |32|38|"
704,230302,231002,"Hipolitowska,                   KN 02  NŻ  |32|38|","Warszawska,                     KS 02  NŻ  |34|40|"
704,231002,231102,"Warszawska,                     KS 02  NŻ  |34|40|","Wierzbowa,                      HP 02  NŻ  |35|41|"
704,231102,231201,"Wierzbowa,                      HP 02  NŻ  |35|41|","PKP Halinów,                    HP 01      |35|43|"
705,144401,144501,"Nowe Załubice,                  ZN 01      | 0| 0|","Załubice-Poczta,                ZS 01  NŻ  | 0| 0|                                               r"
705,144501,144301,"Załubice-Poczta,                ZS 01  NŻ  | 0| 0|                                               r","Załubice-Szkoła,                ZS 01  NŻ  | 1| 1|                                               r"
705,144301,144601,"Załubice-Szkoła,                ZS 01  NŻ  | 1| 1|                                               r","Stare Załubice,                 ZS 01  NŻ  | 2| 2|                                               r"
705,144601,144201,"Stare Załubice,                 ZS 01  NŻ  | 2| 2|                                               r","Marcinki,                       ZS 01  NŻ  | 3| 3|                                               r"
705,144201,144101,"Marcinki,                       ZS 01  NŻ  | 3| 3|                                               r","Zegrzyńska,                     ZS 01  NŻ  | 4| 4|                                               r"
705,144101,144001,"Zegrzyńska,                     ZS 01  NŻ  | 4| 4|                                               r","Wolica,                         ZS 01  NŻ  | 5| 5|"
705,144001,143901,"Wolica,                         ZS 01  NŻ  | 5| 5|","Siwek,                          BK 01  NŻ  | 7| 7|"
705,143901,136201,"Siwek,                          BK 01  NŻ  | 7| 7|","WDW Rynia,                      RN 01  NŻ  |10|10|"
705,136201,136101,"WDW Rynia,                      RN 01  NŻ  |10|10|","Wczasowa,                       BB 01  NŻ  |11|11|                                               r"
705,136101,136001,"Wczasowa,                       BB 01  NŻ  |11|11|                                               r","Kąpielowa,                      BB 01  NŻ  |12|12|               al.Wojska Polskiego,            r"
705,136001,127601,"Kąpielowa,                      BB 01  NŻ  |12|12|               al.Wojska Polskiego,            r","Białobrzegi,                    BB 01      |14|15|                                               r"
705,127601,127501,"Białobrzegi,                    BB 01      |14|15|                                               r","al.Wojska Polskiego,            BB 01  NŻ  |15|16|                                               r"
705,127501,127401,"al.Wojska Polskiego,            BB 01  NŻ  |15|16|                                               r","Port Pilawa,                    BB 01  NŻ  |15|17|"
